DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,TRANSECT,PLOTNUM,LVGRASS,FORBS,CUYRDEAD,PRYRDEAD,WOODY,COMMENTS
PAB02,1,2000,6,12,001a,tu,,10,32.49,0.78,0.88,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,11,30.60,1.63,2.01,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,12,45.81,0.86,1.94,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,13,15.25,0.80,0.71,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,14,27.19,2.72,1.44,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,15,26.97,0.63,1.35,0.00,14.10,
PAB02,1,2000,6,12,001a,tu,,16,37.53,0.26,1.95,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,17,21.56,0.95,2.03,0.00,8.09,
PAB02,1,2000,6,12,001a,tu,,18,25.16,1.51,1.52,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,19,25.44,0.59,1.42,0.00,0.00,
PAB02,1,2000,6,12,001a,tu,,20,20.77,2.82,1.04,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,01,27.92,0.82,4.29,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,02,30.85,16.93,4.03,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,03,39.87,5.02,4.95,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,04,38.42,5.98,4.66,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,05,35.30,3.09,4.00,0.00,12.90,
PAB02,1,2000,6,26,001a,tu,,06,37.04,4.04,2.25,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,07,44.45,3.76,1.51,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,08,37.80,0.25,3.28,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,09,44.52,0.38,4.85,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,10,43.50,2.34,5.67,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,11,48.25,0.58,2.71,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,12,39.47,2.03,4.35,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,13,21.37,1.19,3.07,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,14,29.74,4.29,3.36,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,15,26.64,0.30,3.24,0.00,27.68,
PAB02,1,2000,6,26,001a,tu,,16,37.06,0.00,1.63,0.00,9.35,
PAB02,1,2000,6,26,001a,tu,,17,28.71,1.05,4.99,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,18,26.94,2.48,3.55,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,19,22.49,5.59,2.85,0.00,0.00,
PAB02,1,2000,6,26,001a,tu,,20,52.03,2.43,3.72,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,01,34.62,0.32,6.49,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,02,46.22,7.90,6.85,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,03,25.21,10.20,6.80,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,04,57.89,5.08,8.61,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,05,31.90,1.34,5.96,0.00,19.75,
PAB02,1,2000,7,10,001a,tu,,06,36.98,4.90,6.39,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,07,24.12,9.44,3.70,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,08,41.31,1.26,7.70,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,09,53.13,1.90,7.32,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,10,36.00,0.50,6.83,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,11,66.87,1.01,10.75,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,12,49.09,1.57,9.62,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,13,20.55,6.04,3.19,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,14,30.77,4.55,5.28,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,15,34.38,1.21,6.37,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,16,41.31,0.07,9.76,0.00,1.82,
PAB02,1,2000,7,10,001a,tu,,17,23.92,3.16,6.82,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,18,33.87,4.42,6.46,0.00,0.00,
PAB02,1,2000,7,10,001a,tu,,19,58.95,2.14,9.49,0.00,25.68,
PAB02,1,2000,7,10,001a,tu,,20,51.12,4.12,7.87,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,01,47.28,0.84,10.17,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,02,34.28,5.44,9.43,0.00,3.63,
PAB02,1,2000,7,24,001a,tu,,03,49.65,7.27,11.52,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,04,50.33,2.51,12.46,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,05,41.92,1.38,8.33,0.00,10.52,
PAB02,1,2000,7,24,001a,tu,,06,37.74,4.75,6.38,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,07,41.46,4.38,7.01,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,08,41.70,3.65,10.45,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,09,33.38,1.02,7.42,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,10,37.62,2.57,10.12,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,11,45.56,0.88,9.20,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,12,38.73,3.73,10.14,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,13,23.01,0.58,5.21,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,14,26.39,0.44,4.43,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,15,43.57,2.37,7.85,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,16,47.30,0.09,15.75,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,17,29.40,1.33,8.97,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,18,47.88,2.98,14.43,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,19,56.54,5.25,10.50,0.00,0.00,
PAB02,1,2000,7,24,001a,tu,,20,42.39,4.51,9.67,0.00,0.77,
PAB02,1,2000,8,7,001a,tu,,01,46.15,1.25,11.87,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,02,37.52,1.79,16.66,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,03,33.16,8.05,10.83,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,04,28.13,4.53,6.75,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,05,42.51,0.12,12.19,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,06,31.93,1.64,7.21,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,07,32.74,3.19,12.55,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,08,39.55,3.41,9.93,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,09,48.18,6.23,9.09,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,10,58.66,0.00,14.27,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,11,43.28,1.04,9.47,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,12,28.13,4.29,7.65,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,13,19.00,3.42,8.09,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,14,45.80,1.27,14.87,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,15,24.69,5.05,6.91,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,16,35.64,0.01,16.63,0.00,47.99,
PAB02,1,2000,8,7,001a,tu,,17,46.63,2.68,16.26,0.00,11.05,
PAB02,1,2000,8,7,001a,tu,,18,38.70,3.63,11.61,0.00,0.00,
PAB02,1,2000,8,7,001a,tu,,19,33.14,10.79,13.68,0.00,1.24,
PAB02,1,2000,8,7,001a,tu,,20,32.32,24.33,12.53,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,01,49.40,2.67,19.95,0.00,3.64,
PAB02,1,2000,8,18,001a,tu,,02,35.88,1.74,16.70,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,03,48.51,6.03,17.18,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,04,25.31,7.60,8.28,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,05,55.19,0.60,14.17,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,06,34.03,3.61,12.69,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,07,60.79,11.02,17.79,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,08,63.41,7.85,19.59,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,09,35.85,3.72,13.58,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,10,43.27,3.64,17.68,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,11,31.70,0.14,12.71,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,12,38.02,13.51,19.05,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,13,18.46,0.19,8.40,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,14,31.25,1.32,12.09,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,15,30.49,1.90,11.09,0.00,6.93,
PAB02,1,2000,8,18,001a,tu,,16,32.99,2.03,18.39,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,17,29.13,2.01,16.80,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,18,66.65,5.66,21.35,0.00,0.00,
PAB02,1,2000,8,18,001a,tu,,19,30.82,4.11,14.63,0.00,1.07,
PAB02,1,2000,8,18,001a,tu,,20,46.37,7.20,16.36,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,01,55.98,2.63,23.75,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,02,36.13,0.00,21.81,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,03,33.24,1.17,18.42,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,04,33.76,3.36,15.29,0.00,10.28,
PAB02,1,2000,9,6,001a,tu,,05,43.57,0.32,18.07,0.00,0.34,
PAB02,1,2000,9,6,001a,tu,,06,24.41,3.10,11.89,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,07,31.92,6.56,16.57,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,08,48.31,3.39,28.37,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,09,38.22,3.99,21.34,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,10,23.61,1.92,15.73,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,11,22.87,0.32,15.54,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,12,18.15,1.74,15.62,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,13,13.81,0.38,6.94,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,14,25.21,3.93,16.79,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,15,16.14,2.42,10.46,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,16,21.98,1.85,21.71,0.00,3.50,
PAB02,1,2000,9,6,001a,tu,,17,33.78,3.26,18.19,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,18,48.97,2.04,24.07,0.00,0.00,
PAB02,1,2000,9,6,001a,tu,,19,42.16,3.62,27.96,0.00,15.73,
PAB02,1,2000,9,6,001a,tu,,20,28.23,6.05,23.11,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,01,29.14,0.26,18.42,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,02,27.74,1.23,25.36,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,03,23.42,3.15,20.74,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,04,44.28,0.88,17.05,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,05,24.59,0.42,16.04,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,06,32.07,3.89,19.07,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,07,26.07,2.01,24.71,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,08,24.45,0.87,17.49,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,09,18.30,2.95,16.07,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,10,36.77,2.13,22.95,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,11,38.22,0.00,19.71,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,12,9.12,3.12,6.23,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,13,18.54,7.15,6.98,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,14,13.42,3.82,11.06,0.00,3.12,
PAB02,1,2000,9,18,001a,tu,,15,21.50,0.00,18.41,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,16,20.75,0.84,15.12,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,17,32.84,1.93,20.30,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,18,26.07,0.97,14.12,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,19,60.28,1.31,22.07,0.00,0.00,
PAB02,1,2000,9,18,001a,tu,,20,31.44,5.56,22.58,0.00,0.00,
PAB02,1,2000,5,15,020a,tu,,01,6.98,1.87,0.47,97.66,0.00,
PAB02,1,2000,5,15,020a,tu,,02,5.65,7.72,0.54,63.28,0.00,
PAB02,1,2000,5,15,020a,tu,,03,6.45,2.00,0.29,73.78,0.00,
PAB02,1,2000,5,15,020a,tu,,04,3.74,7.66,0.21,95.32,0.00,
PAB02,1,2000,5,15,020a,tu,,05,2.47,2.44,0.20,99.06,0.00,
PAB02,1,2000,5,15,020a,tu,,06,10.68,1.69,0.59,123.69,0.50,
PAB02,1,2000,5,15,020a,tu,,07,10.59,11.82,0.28,57.42,1.22,
PAB02,1,2000,5,15,020a,tu,,08,11.07,8.24,0.53,88.28,0.00,
PAB02,1,2000,5,15,020a,tu,,09,9.18,15.44,0.20,58.85,0.00,
PAB02,1,2000,5,15,020a,tu,,10,2.81,3.92,0.19,43.65,0.00,
PAB02,1,2000,5,15,020a,tu,,11,12.68,1.09,1.12,60.37,0.00,
PAB02,1,2000,5,15,020a,tu,,12,6.42,1.84,0.32,47.15,0.00,
PAB02,1,2000,5,15,020a,tu,,13,3.76,5.42,1.08,79.92,0.00,
PAB02,1,2000,5,15,020a,tu,,14,5.72,1.12,0.27,88.01,0.00,
PAB02,1,2000,5,15,020a,tu,,15,9.65,0.74,0.23,100.62,0.00,
PAB02,1,2000,5,15,020a,tu,,16,5.90,2.35,0.45,107.89,0.00,
PAB02,1,2000,5,15,020a,tu,,17,17.23,2.43,0.69,63.47,0.00,
PAB02,1,2000,5,15,020a,tu,,18,6.82,4.50,0.20,35.41,0.00,
PAB02,1,2000,5,15,020a,tu,,19,9.37,0.48,0.26,76.47,0.00,
PAB02,1,2000,5,15,020a,tu,,20,5.18,4.15,0.68,69.65,0.46,
PAB02,1,2000,5,26,020a,tu,,01,8.41,4.22,0.94,90.17,0.00,
PAB02,1,2000,5,26,020a,tu,,02,9.38,7.39,0.35,112.69,0.00,
PAB02,1,2000,5,26,020a,tu,,03,9.78,1.04,0.82,95.60,0.00,
PAB02,1,2000,5,26,020a,tu,,04,10.24,10.41,0.09,106.36,0.00,
PAB02,1,2000,5,26,020a,tu,,05,4.53,6.91,0.58,130.32,0.00,
PAB02,1,2000,5,26,020a,tu,,06,15.33,6.76,1.23,59.39,21.31,
PAB02,1,2000,5,26,020a,tu,,07,9.05,14.67,0.68,81.50,1.65,
PAB02,1,2000,5,26,020a,tu,,08,5.52,6.49,1.18,90.56,0.00,
PAB02,1,2000,5,26,020a,tu,,09,9.84,15.92,1.29,93.30,0.00,
PAB02,1,2000,5,26,020a,tu,,10,7.89,19.15,0.32,122.90,0.00,
PAB02,1,2000,5,26,020a,tu,,11,12.15,0.44,0.30,102.35,0.00,
PAB02,1,2000,5,26,020a,tu,,12,9.94,1.57,0.36,84.56,0.00,
PAB02,1,2000,5,26,020a,tu,,13,9.34,4.52,0.10,62.62,0.00,
PAB02,1,2000,5,26,020a,tu,,14,15.68,1.97,0.42,127.72,0.26,
PAB02,1,2000,5,26,020a,tu,,15,13.26,1.61,0.52,126.09,0.00,
PAB02,1,2000,5,26,020a,tu,,16,16.41,3.48,1.18,139.97,0.00,
PAB02,1,2000,5,26,020a,tu,,17,4.58,1.47,0.25,126.88,3.06,
PAB02,1,2000,5,26,020a,tu,,18,14.45,2.41,0.62,85.36,2.43,
PAB02,1,2000,5,26,020a,tu,,19,22.98,1.18,0.62,90.00,2.33,
PAB02,1,2000,5,26,020a,tu,,20,8.69,5.32,1.21,80.23,2.68,
PAB02,1,2000,6,12,020a,tu,,01,15.05,3.85,1.42,86.69,0.00,
PAB02,1,2000,6,12,020a,tu,,02,12.49,11.88,1.25,119.60,0.00,
PAB02,1,2000,6,12,020a,tu,,03,24.93,0.61,1.94,92.32,8.11,
PAB02,1,2000,6,12,020a,tu,,04,27.67,15.97,1.35,107.76,0.00,
PAB02,1,2000,6,12,020a,tu,,05,16.28,0.18,1.19,144.54,0.00,
PAB02,1,2000,6,12,020a,tu,,06,10.13,1.85,1.08,45.06,140.47,
PAB02,1,2000,6,12,020a,tu,,07,11.59,13.66,0.71,47.17,4.18,
PAB02,1,2000,6,12,020a,tu,,08,9.98,19.41,0.41,95.89,0.00,
PAB02,1,2000,6,12,020a,tu,,09,15.85,13.33,1.30,61.69,2.56,
PAB02,1,2000,6,12,020a,tu,,10,11.32,18.86,0.82,82.33,0.00,
PAB02,1,2000,6,12,020a,tu,,11,31.77,6.11,3.14,103.65,0.00,
PAB02,1,2000,6,12,020a,tu,,12,25.16,7.74,1.24,53.23,3.57,
PAB02,1,2000,6,12,020a,tu,,13,24.56,9.40,1.70,104.58,0.00,
PAB02,1,2000,6,12,020a,tu,,14,22.01,2.41,1.33,121.29,0.00,
PAB02,1,2000,6,12,020a,tu,,15,28.76,6.52,2.12,120.76,0.00,
PAB02,1,2000,6,12,020a,tu,,16,15.17,6.53,0.89,70.31,4.25,
PAB02,1,2000,6,12,020a,tu,,17,30.32,4.61,2.53,103.12,0.00,
PAB02,1,2000,6,12,020a,tu,,18,12.15,7.59,1.29,75.10,0.00,
PAB02,1,2000,6,12,020a,tu,,19,42.29,4.02,2.08,85.19,1.88,
PAB02,1,2000,6,12,020a,tu,,20,22.42,11.65,3.05,100.21,6.29,
PAB02,1,2000,6,26,020a,tu,,01,25.33,0.32,2.47,87.24,0.00,
PAB02,1,2000,6,26,020a,tu,,02,29.47,24.60,1.62,92.93,0.00,
PAB02,1,2000,6,26,020a,tu,,03,24.89,21.66,1.50,70.18,0.00,
PAB02,1,2000,6,26,020a,tu,,04,39.90,17.26,3.59,103.92,0.00,
PAB02,1,2000,6,26,020a,tu,,05,32.88,5.76,5.54,152.15,0.00,
PAB02,1,2000,6,26,020a,tu,,06,17.55,21.68,2.07,65.67,9.26,
PAB02,1,2000,6,26,020a,tu,,07,13.32,64.54,1.55,35.46,4.94,
PAB02,1,2000,6,26,020a,tu,,08,22.77,17.19,3.70,103.53,0.00,
PAB02,1,2000,6,26,020a,tu,,09,11.41,17.32,3.70,126.17,0.00,
PAB02,1,2000,6,26,020a,tu,,10,32.12,20.86,3.21,117.63,2.73,
PAB02,1,2000,6,26,020a,tu,,11,25.19,3.53,1.37,117.00,0.00,
PAB02,1,2000,6,26,020a,tu,,12,22.56,4.22,1.23,88.03,5.86,
PAB02,1,2000,6,26,020a,tu,,13,12.85,9.11,1.85,74.36,0.00,
PAB02,1,2000,6,26,020a,tu,,14,39.65,0.00,1.71,112.09,6.16,
PAB02,1,2000,6,26,020a,tu,,15,22.96,0.73,1.67,110.12,0.00,
PAB02,1,2000,6,26,020a,tu,,16,22.62,8.41,1.04,73.87,1.85,
PAB02,1,2000,6,26,020a,tu,,17,18.80,2.19,1.96,163.66,0.00,
PAB02,1,2000,6,26,020a,tu,,18,97.87,1.79,6.60,162.22,0.00,
PAB02,1,2000,6,26,020a,tu,,19,20.95,17.12,1.32,142.96,9.26,
PAB02,1,2000,6,26,020a,tu,,20,20.57,2.20,1.25,69.69,6.51,
PAB02,1,2000,7,10,020a,tu,,01,28.88,3.37,3.80,57.45,0.00,
PAB02,1,2000,7,10,020a,tu,,02,28.46,37.04,3.27,65.84,0.00,
PAB02,1,2000,7,10,020a,tu,,03,45.24,11.50,2.29,70.93,0.00,
PAB02,1,2000,7,10,020a,tu,,04,27.74,12.76,5.39,55.45,0.00,
PAB02,1,2000,7,10,020a,tu,,05,35.20,3.12,6.95,74.10,0.00,
PAB02,1,2000,7,10,020a,tu,,06,31.93,5.45,5.06,39.21,19.50,
PAB02,1,2000,7,10,020a,tu,,07,8.72,35.95,1.28,54.29,3.65,
PAB02,1,2000,7,10,020a,tu,,08,28.68,7.29,2.95,176.68,0.00,
PAB02,1,2000,7,10,020a,tu,,09,27.15,15.45,3.24,55.02,5.15,
PAB02,1,2000,7,10,020a,tu,,10,25.15,24.63,4.44,61.31,0.00,
PAB02,1,2000,7,10,020a,tu,,11,39.32,2.54,5.45,60.21,15.63,
PAB02,1,2000,7,10,020a,tu,,12,38.25,27.57,2.73,69.74,0.00,
PAB02,1,2000,7,10,020a,tu,,13,36.99,6.17,6.20,71.79,10.34,
PAB02,1,2000,7,10,020a,tu,,14,28.48,5.25,2.98,66.47,0.00,
PAB02,1,2000,7,10,020a,tu,,15,22.91,2.25,3.28,79.03,0.00,
PAB02,1,2000,7,10,020a,tu,,16,21.69,5.13,2.50,40.23,0.00,
PAB02,1,2000,7,10,020a,tu,,17,14.23,6.32,2.48,72.00,0.00,
PAB02,1,2000,7,10,020a,tu,,18,9.25,9.07,1.31,55.73,0.00,
PAB02,1,2000,7,10,020a,tu,,19,52.54,8.91,5.26,71.81,0.00,
PAB02,1,2000,7,10,020a,tu,,20,57.15,4.95,6.51,87.44,13.60,
PAB02,1,2000,7,24,020a,tu,,01,38.35,14.28,9.58,66.43,0.00,
PAB02,1,2000,7,24,020a,tu,,02,38.60,33.58,4.27,81.85,0.00,
PAB02,1,2000,7,24,020a,tu,,03,58.05,2.70,8.07,77.55,0.00,
PAB02,1,2000,7,24,020a,tu,,04,28.84,3.54,3.34,51.98,0.00,
PAB02,1,2000,7,24,020a,tu,,05,11.21,6.36,3.84,85.81,0.00,
PAB02,1,2000,7,24,020a,tu,,06,55.28,23.16,12.40,80.54,0.00,
PAB02,1,2000,7,24,020a,tu,,07,17.77,32.02,2.51,50.07,0.00,
PAB02,1,2000,7,24,020a,tu,,08,40.98,6.97,7.52,102.08,0.00,
PAB02,1,2000,7,24,020a,tu,,09,39.82,8.04,4.75,91.22,1.27,
PAB02,1,2000,7,24,020a,tu,,10,17.14,20.23,3.45,60.27,0.00,
PAB02,1,2000,7,24,020a,tu,,11,14.18,10.20,3.29,69.74,0.00,
PAB02,1,2000,7,24,020a,tu,,12,36.09,12.91,12.39,107.40,0.47,
PAB02,1,2000,7,24,020a,tu,,13,23.48,10.42,5.61,77.78,0.00,
