RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,TRANSECT,PLOTNUM,LVGRASS,FORBS,CUYRDEAD,PRYRDEAD,WOODY
2000,9,8,001d,tu,d ,4,48.76,0,23.6,0,0
2000,9,8,001d,tu,d ,5,50.53,0.42,18.36,0,0
2000,8,31,004b,fl,a ,1,23.74,13.67,6.06,0,25.95
2000,8,31,004b,fl,a ,2,28.27,6.63,9.54,0,0
2000,8,31,004b,fl,a ,3,19.58,4.36,7.85,0,0
2000,8,31,004b,fl,a ,4,12.18,4.96,6.25,0,0
2000,8,31,004b,fl,a ,5,17.33,0.51,8.05,0,0
2000,8,31,004b,fl,b ,1,13.69,6.4,6.29,0,0
2000,8,31,004b,fl,b ,2,10.89,4.44,4.9,0,0
2000,8,31,004b,fl,b ,3,6.4,4.21,2.85,0,0
2000,8,31,004b,fl,b ,4,18.03,8.38,6.47,0,0
2000,8,31,004b,fl,b ,5,17.78,4.19,7.41,0,0
2000,8,31,004b,fl,c ,1,11.78,0,4.92,0,6.69
2000,8,31,004b,fl,c ,2,15.76,6.29,4.92,0,0
2000,8,31,004b,fl,c ,3,20.42,4.23,9.14,0,0
2000,8,31,004b,fl,c ,4,30.99,8.97,9.94,0,0
2000,8,31,004b,fl,c ,5,11.37,8.36,2.87,0,0
2000,8,31,004b,fl,d ,1,23.07,2.8,15.62,0,0
2000,8,31,004b,fl,d ,2,12.31,2.65,7.08,0,0.02
2000,8,31,004b,fl,d ,3,16.72,5.72,8.89,0,0
2000,8,31,004b,fl,d ,4,16.48,12.44,8.78,0,0
2000,8,31,004b,fl,d ,5,29.58,12.41,15.65,0,0
2000,9,1,004b,sl,a ,1,14.54,7.22,6.78,0,0
2000,9,1,004b,sl,a ,2,14.21,4.02,7.02,0,0
2000,9,1,004b,sl,a ,3,6.96,4.03,3.19,0,0
2000,9,1,004b,sl,a ,4,23.33,2.39,9.83,0,0
2000,9,1,004b,sl,a ,5,20.16,3.18,11.96,0,0
2000,9,1,004b,sl,b ,1,32.23,8.17,17.5,0,9.85
2000,9,1,004b,sl,b ,2,35.37,1.49,8.42,0,0.34
2000,9,1,004b,sl,b ,3,24.7,2.46,9.3,0,0
2000,9,1,004b,sl,b ,4,33.74,3.98,15.03,0,3.72
2000,9,1,004b,sl,b ,5,31.23,2.79,10.88,0,0
2000,9,1,004b,sl,c ,1,10.08,20.34,4.36,0,0
2000,9,1,004b,sl,c ,2,24.31,3.3,10.65,0,0
2000,9,1,004b,sl,c ,3,16.61,5.33,6.5,0,0
2000,9,1,004b,sl,c ,4,35.47,6.88,8.69,0,0
2000,9,1,004b,sl,c ,5,27.07,2.57,13.99,0,0
2000,9,1,004b,sl,d ,1,16.61,7.62,5.05,0,0
2000,9,1,004b,sl,d ,2,8.94,7.41,5.01,0,0
2000,9,1,004b,sl,d ,3,20.03,3.36,10.99,0,0
2000,9,1,004b,sl,d ,4,9.23,10.43,3.98,0,0
2000,9,1,004b,sl,d ,5,14,19.22,3.93,0,0
2000,9,5,004b,tu,a ,1,36.42,32.59,13.56,0,0
2000,9,5,004b,tu,a ,2,15.85,10.95,8.26,0,0
2000,9,5,004b,tu,a ,3,33.61,6.76,14.27,0,0
2000,9,5,004b,tu,a ,4,23.51,11.78,13.04,0,0.71
2000,9,5,004b,tu,a ,5,54.67,18.63,13.88,0,0
2000,9,5,004b,tu,b ,1,32.09,22.54,8.76,0,0
2000,9,5,004b,tu,b ,2,23.09,27.75,6.09,0,3.61
2000,9,5,004b,tu,b ,3,29.37,17.49,9.66,0,0
2000,9,5,004b,tu,b ,4,25.45,19.3,14.48,0,0
2000,9,5,004b,tu,b ,5,62.65,11.72,24.87,0,0
2000,9,5,004b,tu,c ,1,38.3,17.68,10.01,0,0
2000,9,5,004b,tu,c ,2,25.39,8.71,4.78,0,0
2000,9,5,004b,tu,c ,3,50.37,6.29,17.64,0,0
2000,9,5,004b,tu,c ,4,38.52,9.81,2.52,0,0
2000,9,5,004b,tu,c ,5,82.88,1.78,11.61,0,0
2000,9,5,004b,tu,d ,1,57.61,0.22,26.83,0,0
2000,9,5,004b,tu,d ,2,17.12,37.76,6.79,0,0
2000,9,5,004b,tu,d ,3,0.93,102.31,0.22,0,4.94
2000,9,5,004b,tu,d ,4,65.79,5.14,9.66,0,3.32
2000,9,5,004b,tu,d ,5,47.13,15.27,17,0,0
2000,9,5,020b,fl,a ,1,13.19,3.8,9.67,61.54,1.35
2000,9,5,020b,fl,a ,2,11.76,0.73,9.63,74.89,0
2000,9,5,020b,fl,a ,3,7.02,8.28,5.73,49.98,0
2000,9,5,020b,fl,a ,4,13.67,2.25,11.3,43.69,0
2000,9,5,020b,fl,a ,5,22.63,3.61,9.62,98.53,0
2000,9,5,020b,fl,b ,1,12.86,0.92,12.22,67.75,0
2000,9,5,020b,fl,b ,2,15.03,1.37,14.68,82.02,0
2000,9,5,020b,fl,b ,3,22.45,2.15,21.13,65.61,0
2000,9,5,020b,fl,b ,4,22.08,1.95,17.69,36.2,0
2000,9,5,020b,fl,b ,5,19.3,1.45,6.3,65.92,0
2000,9,7,020b,fl,c ,1,15.96,7,7.27,71.99,0
2000,9,7,020b,fl,c ,2,25.54,0.48,19.97,88.53,0
2000,9,7,020b,fl,c ,3,17.63,0,13.53,61.55,0
2000,9,7,020b,fl,c ,4,11.81,9.64,4.07,82.4,0
2000,9,7,020b,fl,c ,5,13.61,2.01,7.45,79.09,0
2000,9,7,020b,fl,d ,1,9.93,4.68,6.06,14.38,0
2000,9,7,020b,fl,d ,2,6.53,8.37,2.66,33.15,0
2000,9,7,020b,fl,d ,3,22.99,6.93,10.44,52.07,0
2000,9,7,020b,fl,d ,4,9.29,4.43,6.96,24.75,0
2000,9,7,020b,fl,d ,5,10.07,0.8,8.6,62.27,0
2000,9,7,020b,sl,a ,1,9.19,6.85,3.85,31.97,0
2000,9,7,020b,sl,a ,2,8.71,10.15,5.61,38.36,6.4
2000,9,7,020b,sl,a ,3,5.94,4.31,8.05,16.63,0
2000,9,7,020b,sl,a ,4,7.93,8.26,4.56,68.86,0
2000,9,7,020b,sl,a ,5,11.54,13.34,10.62,44.73,0
2000,9,7,020b,sl,b ,1,0.05,0.79,0.07,12.9,501.89
2000,9,7,020b,sl,b ,2,3.55,1.18,1.89,8.99,53.38
2000,9,7,020b,sl,b ,3,13.64,1.03,8.87,68.83,0
2000,9,7,020b,sl,b ,4,15.95,0.63,14.93,42.43,0
2000,9,7,020b,sl,b ,5,25.59,5.19,2.55,45.02,0
2000,9,5,020b,sl,c ,1,11.93,2.44,8.34,47.67,0
2000,9,5,020b,sl,c ,2,14.01,0.21,11.85,54.26,0
2000,9,5,020b,sl,c ,3,6.69,10.63,4.62,63.11,0
2000,9,5,020b,sl,c ,4,17.88,1.19,13.32,67.63,0
2000,9,5,020b,sl,c ,5,17.99,0.03,8.6,142.53,0
2000,9,5,020b,sl,d ,1,20.6,2.3,8.41,41.5,0
2000,9,5,020b,sl,d ,2,19.02,1.23,15.67,27.93,0
2000,9,5,020b,sl,d ,3,9.09,0.29,3.95,113.71,8.43
2000,9,5,020b,sl,d ,4,28.05,0.15,12.29,104.59,5.09
2000,9,5,020b,sl,d ,5,25.73,0.45,15.62,98.37,0
2000,9,7,020b,tu,a ,1,14.24,7.03,19.57,75.37,0
2000,9,7,020b,tu,a ,2,13.39,31.61,8.72,86.56,0
2000,9,7,020b,tu,a ,3,14.01,58.76,2.78,87.62,0
2000,9,7,020b,tu,a ,4,14.63,18.23,7.64,51.03,0
2000,9,7,020b,tu,a ,5,17.24,0.14,15.78,80.16,0
2000,9,7,020b,tu,b ,1,14.52,3.46,10.39,65.35,0
2000,9,7,020b,tu,b ,2,13.29,15.18,4.33,40.35,0
2000,9,7,020b,tu,b ,3,12.53,1.65,14.51,45.87,2.03
2000,9,7,020b,tu,b ,4,13.92,1.98,7.37,62.42,3.47
2000,9,7,020b,tu,b ,5,5.46,17.62,0.85,96.39,1.22
2000,9,7,020b,tu,c ,1,39.64,0.59,18.9,51.48,0
2000,9,7,020b,tu,c ,2,28.44,8.83,23.04,49.42,0
2000,9,7,020b,tu,c ,3,22.27,23.86,11.3,61.02,0
2000,9,7,020b,tu,c ,4,19.96,7.96,10.5,19.81,0
2000,9,7,020b,tu,c ,5,19.17,1.24,7.81,75.12,0
2000,9,7,020b,tu,d ,1,27.33,10.15,20.15,44.41,1.15
2000,9,7,020b,tu,d ,2,17.8,16.78,9.06,47.15,0
2000,9,7,020b,tu,d ,3,16.55,20.64,8.25,34.52,0
2000,9,7,020b,tu,d ,4,12.48,13.7,6.03,54.14,0
2000,9,7,020b,tu,d ,5,6.21,56.87,3.27,17.73,0
2001,9,21,001d,fl,a ,1,25.23,0.13,8.43,0,2.02
2001,9,21,001d,fl,a ,2,14.85,0.57,5.21,0,0
2001,9,21,001d,fl,a ,3,27.3,0.11,15.86,0,0
2001,9,21,001d,fl,a ,4,35.78,1.44,12.54,0,0
2001,9,21,001d,fl,a ,5,25.55,0.28,9.92,0,0
2001,9,21,001d,fl,b ,1,27.24,1.33,9.24,0,0
2001,9,21,001d,fl,b ,2,21.29,10.5,8.76,0,0
2001,9,21,001d,fl,b ,3,19.85,0.97,6.31,0,0
2001,9,21,001d,fl,b ,4,19.17,12.67,6.54,0,0
2001,9,21,001d,fl,b ,5,11.08,3.07,5.75,0,0
2001,9,21,001d,fl,c ,1,18.83,0.98,7.89,0,0
2001,9,21,001d,fl,c ,2,9.45,0.91,7.67,0,0
2001,9,21,001d,fl,c ,3,15.15,3.75,6.78,0,0
2001,9,21,001d,fl,c ,4,19.37,1.32,6.26,0,0
2001,9,21,001d,fl,c ,5,22.09,1.59,13.48,0,0
2001,9,21,001d,fl,d ,1,34.51,0.8,12.25,0,0
2001,9,21,001d,fl,d ,2,17.46,0.97,7.64,0,0
2001,9,21,001d,fl,d ,3,27.06,13.34,6.84,0,0
2001,9,21,001d,fl,d ,4,20.29,3.04,15.57,0,2.46
2001,9,21,001d,fl,d ,5,25.48,1.78,8.89,0,0
2001,9,21,001d,sl,a ,1,16.25,2.07,5.97,0,0
2001,9,21,001d,sl,a ,2,21.23,6.7,8.42,0,0
2001,9,21,001d,sl,a ,3,22.84,1.15,10.72,0,0
2001,9,21,001d,sl,a ,4,22.49,0.04,8.77,0,0
2001,9,21,001d,sl,a ,5,27.93,0,11.29,0,51.5
2001,9,21,001d,sl,b ,1,29.26,4.86,11.3,0,16.19
2001,9,21,001d,sl,b ,2,22.81,0,6.24,0,0
2001,9,21,001d,sl,b ,3,26.29,0.52,10.88,0,0
2001,9,21,001d,sl,b ,4,25.67,0.21,8.17,0,0
2001,9,21,001d,sl,b ,5,20.4,1.83,5.37,0,0
2001,9,21,001d,sl,c ,1,23.41,1.39,11.37,0,0
2001,9,21,001d,sl,c ,2,32.44,0,16.41,0,0
2001,9,21,001d,sl,c ,3,26.96,0.15,9.29,0,0
2001,9,21,001d,sl,c ,4,24.24,0,8.6,0,0
2001,9,21,001d,sl,c ,5,22.61,0.03,8.32,0,0
2001,9,21,001d,sl,d ,1,26.2,6.39,14.75,0,0
2001,9,21,001d,sl,d ,2,17.25,0,8.17,0,0.01
2001,9,21,001d,sl,d ,3,29.82,0.03,10.8,0,0
2001,9,21,001d,sl,d ,4,17.29,0,7.67,0,0
2001,9,21,001d,sl,d ,5,18.9,0.65,9.13,0,0
2001,9,21,001d,tu,a ,1,34.66,0.58,13.09,0,0
2001,9,21,001d,tu,a ,2,36.36,0.89,19.25,0,0
2001,9,21,001d,tu,a ,3,29.23,0.06,12.61,0,0
2001,9,21,001d,tu,a ,4,38.58,0.9,16.31,0,0
2001,9,21,001d,tu,a ,5,58.1,2.93,21.47,0,0
2001,9,21,001d,tu,b ,1,39.75,0.15,25.23,0,0
2001,9,21,001d,tu,b ,2,42.07,0,13.89,0,0
2001,9,21,001d,tu,b ,3,36.04,2.34,14.74,0,0
2001,9,21,001d,tu,b ,4,46.8,0.65,22.75,0,0
2001,9,21,001d,tu,b ,5,26.74,0.78,6.24,0,0
2001,9,21,001d,tu,c ,1,23.62,0,19.77,0,0
2001,9,21,001d,tu,c ,2,36.53,0,16.51,0,0
2001,9,21,001d,tu,c ,3,29.32,0.88,10.18,0,0
2001,9,21,001d,tu,c ,4,43.86,0,17.44,0,0
2001,9,21,001d,tu,c ,5,40.31,0.47,22.31,0,0.06
2001,9,21,001d,tu,d ,1,47.54,0.11,22.36,0,0
2001,9,21,001d,tu,d ,2,47.16,0.4,17.62,0,0
2001,9,21,001d,tu,d ,3,32.08,0,11.48,0,0
2001,9,21,001d,tu,d ,4,41.69,0.14,15.08,0,0
2001,9,21,001d,tu,d ,5,32.6,0,16.91,0,0
2001,8,31,004b,fl,a ,1,13.38,4.04,4.84,12.02,41.15
2001,8,31,004b,fl,a ,2,20.43,3.9,5.52,14.29,0
2001,8,31,004b,fl,a ,3,15.52,3.92,4.96,21.28,0
2001,8,31,004b,fl,a ,4,23.47,2.97,10.3,25.25,0
2001,8,31,004b,fl,a ,5,21.63,3.18,6.03,25.91,0
2001,8,31,004b,fl,b ,1,23.41,2.34,4.93,22.5,0
2001,8,31,004b,fl,b ,2,24.95,2.07,2.91,21.42,0
2001,8,31,004b,fl,b ,3,10.46,3.09,4.03,15.51,17.06
2001,8,31,004b,fl,b ,4,6.75,1.69,2.44,13.62,0
2001,8,31,004b,fl,b ,5,17.97,0.5,6.32,11.68,1.67
2001,8,31,004b,fl,c ,1,23.61,8.21,8.45,41.59,0
2001,8,31,004b,fl,c ,2,15.91,13.79,2.79,18.01,0
2001,8,31,004b,fl,c ,3,24.06,4.1,5.9,30.22,0
2001,8,31,004b,fl,c ,4,14.01,3.43,4.25,33.95,0
2001,8,31,004b,fl,c ,5,22.87,0,8.63,20.92,0
2001,8,31,004b,fl,d ,1,20.66,0,6.08,21.76,10.22
2001,8,31,004b,fl,d ,2,19.6,7.07,6.43,13.55,0
2001,8,31,004b,fl,d ,3,23.63,1.04,9.58,10.63,0
2001,8,31,004b,fl,d ,4,19.06,1.66,12.81,27.26,0
2001,8,31,004b,fl,d ,5,25.58,0,11.27,25.62,0
2001,8,31,004b,sl,a ,1,13.82,0.97,3.29,18.56,14.27
2001,8,31,004b,sl,a ,2,13.93,3.84,2.34,13.13,0
2001,8,31,004b,sl,a ,3,30.43,0.47,8.28,22.77,0
2001,8,31,004b,sl,a ,4,12.5,2.29,4.03,11.32,0
2001,8,31,004b,sl,a ,5,9.56,4.62,3.02,21.22,10.49
2001,8,31,004b,sl,b ,1,16.24,8.01,4.06,26.23,4.68
2001,8,31,004b,sl,b ,2,21.52,1.11,5.39,30.98,0
2001,8,31,004b,sl,b ,3,25.59,5.33,10.34,20.66,0
2001,8,31,004b,sl,b ,4,11.44,7.21,4.8,24.18,0
2001,8,31,004b,sl,b ,5,18.05,1.85,5.65,51.09,11.13
2001,8,31,004b,sl,c ,1,18,1.56,6.69,23.66,0
2001,8,31,004b,sl,c ,2,19.59,1.93,9.82,23.74,0
2001,8,31,004b,sl,c ,3,24.85,2.03,11.14,10.52,0
2001,8,31,004b,sl,c ,4,21.19,1.74,5.58,12.76,0
2001,8,31,004b,sl,c ,5,31.82,0,7.98,17.29,0
2001,8,31,004b,sl,d ,1,14.6,17.65,2.53,63.97,0
2001,8,31,004b,sl,d ,2,15.52,5.78,4.26,14.69,0
2001,8,31,004b,sl,d ,3,23.93,8.26,7.19,10.53,0
2001,8,31,004b,sl,d ,4,15.94,0.63,3.43,12.45,0.97
2001,8,31,004b,sl,d ,5,14.62,8.23,3.39,17.33,3.17
2001,8,31,004b,tu,a ,1,14.69,6.56,4.8,27.02,0
2001,8,31,004b,tu,a ,2,17.2,0.63,4.32,22.22,0
2001,8,31,004b,tu,a ,3,11.59,6.55,1.88,15.88,0
2001,8,31,004b,tu,a ,4,18.9,7.43,6.34,19.63,0
2001,8,31,004b,tu,a ,5,21.54,3.38,10.3,29.23,0
2001,8,31,004b,tu,b ,1,17.52,0.53,2.75,31.55,30.07
2001,8,31,004b,tu,b ,2,45.43,3.91,5.05,41.11,0
2001,8,31,004b,tu,b ,3,12.19,19.88,5.22,20.08,0
2001,8,31,004b,tu,b ,4,21.29,11.97,4.74,40.47,0
2001,8,31,004b,tu,b ,5,18.82,11.1,4.71,36.98,10.23
2001,8,31,004b,tu,c ,1,32.57,8.26,3.81,33.68,0
2001,8,31,004b,tu,c ,2,13.24,18.95,2.57,20.76,0
2001,8,31,004b,tu,c ,3,27.54,9.64,4.31,9.09,0
2001,8,31,004b,tu,c ,4,21.13,10.22,3.4,22.71,0
2001,8,31,004b,tu,c ,5,32.31,8.58,10.61,39.78,0
2001,8,31,004b,tu,d ,1,36.61,11.88,7.5,10.35,1.43
2001,8,31,004b,tu,d ,2,30.95,6.62,4.63,27.49,0.69
2001,8,31,004b,tu,d ,3,22.13,6.76,7.52,38.13,0
2001,8,31,004b,tu,d ,4,42.76,3.51,7.63,29.86,0
2001,8,31,004b,tu,d ,5,0,45.16,0.02,124.06,69.31
2001,9,12,020b,fl,a ,1,69.32,2.65,15.72,95.76,0
2001,9,12,020b,fl,a ,2,32.6,2.72,17.04,76.06,0
2001,9,12,020b,fl,a ,3,20.51,12.01,5.16,56.6,0
2001,9,12,020b,fl,a ,4,27.69,18.8,11.6,39.62,0
2001,9,12,020b,fl,a ,5,7.16,1.64,10.96,76.87,0
2001,9,12,020b,fl,b ,1,14.28,0,1.64,64.25,0
2001,9,12,020b,fl,b ,2,1.94,2.09,1.31,105.27,0
2001,9,12,020b,fl,b ,3,17.55,2.29,8.87,78.42,0
2001,9,12,020b,fl,b ,4,23.27,1.31,16.56,77.83,0
2001,9,12,020b,fl,b ,5,8.96,2.59,3.92,36.11,0
2001,9,12,020b,fl,c ,1,13.97,13.58,4.7,69.67,0
2001,9,12,020b,fl,c ,2,4.78,3.33,2.05,50.59,0
2001,9,12,020b,fl,c ,3,22.83,4.14,6.92,45.97,0
2001,9,12,020b,fl,c ,4,10.98,7.35,4.15,70.85,0
2001,9,12,020b,fl,c ,5,17.27,4.08,2.82,68.32,0
2001,9,10,020b,fl,d ,1,11.24,9.86,1.79,31.8,0
2001,9,10,020b,fl,d ,2,14.89,9.64,4.29,39.81,0
2001,9,10,020b,fl,d ,3,12.39,28.62,2.87,24.99,0
2001,9,10,020b,fl,d ,4,11.46,10.96,4.55,33,0
2001,9,10,020b,fl,d ,5,12.45,0.6,9.08,32.52,0
2001,9,10,020b,sl,a ,1,15.52,17.76,12.47,38.36,91.45
2001,9,10,020b,sl,a ,2,15.19,0.37,7.69,12.95,0
2001,9,10,020b,sl,a ,3,6.61,0,1.77,75.2,58.95
2001,9,10,020b,sl,a ,4,9.24,8.51,1.62,28.18,0
2001,9,10,020b,sl,a ,5,10.17,17.85,2.14,44.48,32.35
2001,9,10,020b,sl,b ,1,9.5,0.01,3.06,12.44,0
2001,9,10,020b,sl,b ,2,7.3,4.9,1.4,21.08,30.85
2001,9,10,020b,sl,b ,3,23.65,5.09,8.52,46.63,0
2001,9,10,020b,sl,b ,4,17.97,2.58,6.26,49.22,0
2001,9,10,020b,sl,b ,5,21.14,11.78,5.81,13.73,0
2001,9,10,020b,sl,c ,1,15.72,1.6,7.95,36.27,0
2001,9,10,020b,sl,c ,2,28.42,2.56,12.73,79.7,1.88
2001,9,10,020b,sl,c ,3,14.85,29.6,9.38,33.88,14.57
2001,9,10,020b,sl,c ,4,16.23,0,13.4,97.61,0.58
2001,9,10,020b,sl,c ,5,16.2,0,4.41,50.24,54.34
2001,9,10,020b,sl,d ,1,21.14,1.97,11.04,93.14,54.04
2001,9,10,020b,sl,d ,2,15.26,0.75,9.19,80.98,0
2001,9,10,020b,sl,d ,3,22.3,3.88,4.95,42.01,0
2001,9,10,020b,sl,d ,4,4.51,7.1,2.05,50.4,0
2001,9,10,020b,sl,d ,5,6.76,12.54,1.58,32.94,7.22
2001,9,10,020b,tu,a ,1,2.76,40.78,0.8,44.65,3.1
2001,9,10,020b,tu,a ,2,27.2,5.1,7.77,33.09,0
2001,9,10,020b,tu,a ,3,7.92,2.56,1.38,42.68,0
2001,9,10,020b,tu,a ,4,20.52,13.09,4.05,95.61,0
2001,9,10,020b,tu,a ,5,29.99,20.84,2.9,70.33,0
2001,9,10,020b,tu,b ,1,13.92,25.47,3.49,62.89,0
2001,9,10,020b,tu,b ,2,24.18,0.45,7.75,78.93,0
2001,9,10,020b,tu,b ,3,38.56,3.73,5.34,37.93,7.66
2001,9,10,020b,tu,b ,4,15.52,12.3,5.44,82.96,7.95
2001,9,10,020b,tu,b ,5,20.62,3.1,10.68,96.54,0
2001,9,10,020b,tu,c ,1,12.56,0.97,2.83,39.99,0
2001,9,10,020b,tu,c ,2,23.03,7.18,5.28,106.81,0
2001,9,10,020b,tu,c ,3,12.3,12.6,3.75,13.08,1.55
2001,9,10,020b,tu,c ,4,21.32,0,8.91,49.02,0
2001,9,10,020b,tu,c ,5,6.45,20.9,1.66,31.63,0
2001,9,10,020b,tu,d ,1,19.15,24.38,8.22,64.11,0
2001,9,10,020b,tu,d ,2,9.02,17.13,3.74,52.44,13.97
2001,9,10,020b,tu,d ,3,4.91,0.72,1.2,63.67,3.08
2001,9,10,020b,tu,d ,4,7.99,48.14,3.09,53.88,4.7
2001,9,10,020b,tu,d ,5,7.92,24.48,2.44,34.63,0
2002,9,18,001d,fl,a ,1,44.93,0.05,,0,0
2002,9,18,001d,fl,a ,2,35.74,1.67,,0,0
2002,9,18,001d,fl,a ,3,32.06,1.91,,0,0
2002,9,18,001d,fl,a ,4,31.85,5.11,,0,10.75
2002,9,18,001d,fl,a ,5,33.41,3.95,,0,0
2002,9,18,001d,fl,b ,1,33.35,2.27,,0,0
2002,9,18,001d,fl,b ,2,33.6,2.87,,0,0
2002,9,18,001d,fl,b ,3,33.21,1.84,,0,0
2002,9,18,001d,fl,b ,4,22.38,1.01,,0,0
2002,9,18,001d,fl,b ,5,36.17,0.38,,0,0
2002,9,18,001d,fl,c ,1,20.42,2.47,,0,0
2002,9,18,001d,fl,c ,2,32.41,2.73,,0,0
2002,9,18,001d,fl,c ,3,28.3,3.75,,0,0
2002,9,18,001d,fl,c ,4,21.14,1.71,,0,0
2002,9,18,001d,fl,c ,5,18.15,7.64,,0,0
2002,9,18,001d,fl,d ,1,34.54,0.44,,0,0
2002,9,18,001d,fl,d ,2,23.49,0.61,,0,0
2002,9,18,001d,fl,d ,3,43.22,0,,0,7.58
2002,9,18,001d,fl,d ,4,26.7,0.59,,0,0
2002,9,18,001d,fl,d ,5,26.64,1.06,,0,0
2002,9,18,001d,tu,a ,1,64.63,0.35,,0,0
2002,9,18,001d,tu,a ,2,60.78,2.16,,0,0
2002,9,18,001d,tu,a ,3,46.45,5.31,,0,0
2002,9,18,001d,tu,a ,4,60.07,3.45,,0,0
2002,9,18,001d,tu,a ,5,71.05,0,,0,0
2002,9,18,001d,tu,b ,1,45.54,0.13,,0,0
2002,9,18,001d,tu,b ,2,63.6,0,,0,0
2002,9,18,001d,tu,b ,3,39.87,7.41,,0,0
2002,9,18,001d,tu,b ,4,49.91,0.18,,0,0
2002,9,18,001d,tu,b ,5,55.09,1.59,,0,0
2002,9,18,001d,tu,c ,1,43.03,1.99,,0,0
2002,9,18,001d,tu,c ,2,54.19,1.17,,0,0
2002,9,18,001d,tu,c ,3,38.16,4.81,,0,0
2002,9,18,001d,tu,c ,4,47.06,0,,0,0
2002,9,18,001d,tu,c ,5,65.58,5.33,,0,0
2002,9,18,001d,tu,d ,1,62.25,1.97,,0,0
2002,9,18,001d,tu,d ,2,43.63,0.26,,0,5.85
2002,9,18,001d,tu,d ,3,57.72,0,,0,0
2002,9,18,001d,tu,d ,4,51.6,1.97,,0,0
